47313	3	6	ADR	make my molars explode	vyvanse	vyvanse
88741	6	7	ADR	i'm awake	dextroamphetamine	dextroamphetamine
124682	2	4	ADR	burst of energy	adderall	adderall
17838	16	18	ADR	i have insomnia	vyvanse	vyvanse
39959	7	12	ADR	would make me wanna chain smoke	ritalin	ritalin
137910	23	24	ADR	kinda jittery	adderall xr	adderall xr
11031	13	21	ADR	gives my central nervous system a crazy huge boost	focalin xr	focalin xr
12324	7	11	ADR	it would make me sleepy	daytrana	daytrana
11050	5	8	ADR	my heart was racing	focalin	focalin
108730	1	11	ADR	has me cleaning my bathroom at 12:30 on a thursday night	adderall	adderall
85084	8	18	ADR	 focus on things other than the thing i should be doing	adderall xr	adderall xr
64857	13	13	ADR	depressed	dexedrine	dexedrine
72588	14	20	ADR	not sleeping for the next 36 hours	vyvanse	vyvanse
6080	1	2	ADR	chest pains	concerta	concerta
18621	8	8	ADR	anxiety	adderall xr	adderall xr
132051	6	9	ADR	why can't j sleep	focalin xr	focalin xr
20534	1	7	ADR	a thot when it comes to sleeping	focalin	focalin
4749	3	6	ADR	putting me to sleep	vyvanse	vyvanse
6106	9	11	ADR	im still up	vyvanse	vyvanse
97240	12	17	Beneficial	i can actually get things done	vyvanse	vyvanse
111156	1	6	ADR	makes me feel sick and sleepy	concerta	concerta
131449	16	16	ADR	dizzy	vyvanse	vyvanse
126335	6	13	ADR	have peed about 7 times in a hour	vyvanse	vyvanse
53722	2	5	ADR	got me so focused	vyvanse	vyvanse
65975	3	7	ADR	gives me man vivid dreams	ritalin	ritalin
66319	4	8	Beneficial	slept a little bit better	clonodine	clonodine
58304	3	6	ADR	awake for 30 hours	dexmethylphenidate	dexmethylphenidate
133595	5	9	ADR	makes me so very sleepy	vyvanse	vyvanse
210	11	12	ADR	eye twitches	dexamphetamine	dexamphetamine
33281	1	7	ADR	had me eating not because i'm hungry	vyvanse	vyvanse
40784	4	7	Beneficial	cleaned out my desk	ritalin	ritalin
51577	19	20	Indication	cant focus	intuniv	intuniv
94012	2	6	ADR	isn't gonna let me sleep	vyvance	vyvance
30764	3	4	ADR	sleep fighting	methylphenidate	methylphenidate
78705	11	17	ADR	i'm going to be awake for days	vyvanse	vyvanse
19249	3	5	ADR	i want sleep	vyvanse	vyvanse
77410	3	5	ADR	alters my personality	vyvanse	vyvanse
6325	11	12	Beneficial	feeling invincible	vyvanse	vyvanse
2836	11	13	ADR	up all night	adderall	adderall
127420	2	4	Indication	needing a nap	ritalin	ritalin
51728	6	6	ADR	daydream	vyvanse	vyvanse
55579	4	12	ADR	thinkin bout takin all of the lucky charm marshmallows	vyvanse	vyvanse
23232	17	20	Indication	any hope of sleeping	clonodine	clonodine
128258	12	15	ADR	i pass tf out	vyvanse	vyvanse
25083	16	17	Indication	high bp	catapres	catapres
43327	14	15	Indication	ocd anxieties	focalin	focalin
6400	5	10	ADR	makes you think in caps lock	adderall	adderall
88629	2	6	ADR	don't ever let me sleep	vyvanse	vyvanse
38909	0	3	ADR	can't freaking fall asleep	concerta	concerta
121534	10	13	ADR	be up all night	focalin	focalin
54889	10	13	Indication	to help her sleep	clonidine	clonidine
66851	3	5	ADR	but can't sleep	vyvanse	vyvanse
70676	5	11	ADR	making me cry at anything and everything	focalin	focalin
49506	4	7	ADR	awake for 30 hours	vyvanse	vyvanse
44609	11	12	ADR	can't sleep	vyvanse	vyvanse
110522	4	10	ADR	looking up the perfect pumpkin pie recipe	vyvanse	vyvanse
95410	6	7	ADR	experience diarrhea	quillivant	quillivant
127604	7	9	ADR	i'm never hungry	vyvanse	vyvanse
66955	1	4	ADR	makes my feet tingle	vyvanse	vyvanse
42692	14	16	Beneficial	feeling this nice	vyvanse	vyvanse
136703	19	22	ADR	pee every five minutes	dexedrine	dexedrine
10673	5	10	ADR	i just want to fall asleep	vyvanse	vyvanse
106873	13	13	Beneficial	productive	vyvanse	vyvanse
132628	1	7	ADR	makes me have to pee a lot	adderall	adderall
5227	3	11	ADR	feel like im dying. coming down from vyvanse	vyvanse	vyvanse
84127	4	4	Indication	tremors	intunive	intunive
66978	1	3	ADR	got me wired	adderall	adderall
24336	17	17	ADR	#tweaking	vyvanse	vyvanse
59661	7	7	ADR	twitches	focalin	focalin
22935	1	3	ADR	has me organizing	vyvanse	vyvanse
